team_home, team_away, score_home, score_away
Broncos,Redskins,11,27
Rams,Titans,27,23
Chargers,Jets,14,7
Jaguars,49ers,33,44
Seahawks,Cowboys,21,12
Giants,Cardinals,0,23
Steelers,Texans,34,6
Raiders,Eagles,10,19
Redskins,Giants,10,18
Jets,Patriots,6,26
Bears,Vikings,10,23
Packers,Lions,11,35
Texans,Colts,13,22
Browns,Steelers,24,28
Cowboys,Eagles,6,0
49ers,Rams,34,13
Raiders,Chargers,10,30
Chiefs,Broncos,27,24
Jaguars,Titans,10,15
Saints,Buccaneers,24,31
Bills,Dolphins,22,16
Cardinals,Seahawks,26,24
Panthers,Falcons,10,22
Bengals,Ravens,31,27
