team_home, team_away, score_home, score_away
SAS,DAL,94,87
MIA,DEN,106,98
ATL,PHX,107,109
IND,POR,109,131
DAL,CHA,87,97
MIL,BKN,111,93
ORL,MEM,94,95
LAC,CLE,113,94
MIA,UTA,111,110
HOU,GSW,132,127
ORL,PHI,105,88
SAC,BOS,92,97
LAL,TOR,80,113
MIN,NYK,114,118
CLE,CHI,105,111
LAC,NOP,114,96
DET,ATL,121,85
WAS,SAS,105,107
HOU,DEN,128,110
BKN,MIL,103,112
MIN,CHA,125,120
ATL,TOR,84,128
BOS,PHI,107,106
LAL,MEM,100,103
CHI,DAL,82,107
DEN,UTA,98,105
MIA,POR,92,99
PHX,GSW,109,138
ORL,DET,98,92
NOP,OKC,92,101
SAC,NYK,98,106
IND,LAC,111,102
DEN,PHI,106,98
CLE,TOR,116,112
WAS,BKN,118,113
OKC,ATL,102,99
POR,CHI,112,110
SAS,MIL,97,96
MEM,NOP,110,108
BOS,HOU,106,107
CHA,DAL,109,101
UTA,LAL,107,101
IND,GSW,106,142
ORL,WAS,124,116
NYK,MIA,114,103
CHI,DET,91,102
PHI,MEM,91,96
SAS,MIN,105,91
PHX,UTA,105,112
DET,CHA,77,87
BOS,ORL,117,87
DEN,BKN,111,116
MIA,ATL,95,103
POR,MIL,107,115
LAL,HOU,95,134
CLE,NYK,126,94
SAC,DAL,120,89
IND,PHX,109,94
GSW,LAC,115,98
MIN,TOR,110,124
DEN,WAS,85,92
POR,MEM,86,88
PHI,NOP,99,88
GSW,UTA,106,99
SAS,CHI,91,95
ORL,CHA,88,109
MIA,CLE,84,114
TOR,BOS,101,94
ATL,MIL,114,110
HOU,OKC,102,99
DET,MIN,117,90
IND,DAL,103,111
PHX,LAL,119,115
NYK,SAC,103,100
MIL,WAS,105,110
DEN,ORL,121,113
POR,IND,111,118
CHA,CLE,105,116
MIA,CHI,100,105
GSW,MEM,89,110
DAL,HOU,87,109
BKN,SAS,101,130
SAC,UTA,84,104
NOP,LAC,105,133
PHI,DET,97,79
BOS,OKC,96,99
GSW,MIN,116,108
NOP,PHX,120,119
NYK,LAL,118,112
CHA,IND,94,110
MIL,TOR,100,122
WAS,MIA,101,112
BKN,HOU,118,122
DEN,DAL,92,112
POR,LAC,120,121
LAL,SAC,92,116
MEM,CLE,86,103
ORL,ATL,131,120
MIN,CHI,99,94
GSW,NOP,113,109
NYK,PHX,111,113
OKC,POR,95,114
TOR,PHI,123,114
CHA,WAS,106,109
LAC,ORL,113,108
IND,MIA,89,95
LAL,BKN,97,107
CLE,MEM,85,93
SAC,HOU,98,132
DET,DAL,95,85
OKC,UTA,89,109
BOS,SAS,101,108
CHI,MIL,97,108
IND,NOP,95,102
POR,DEN,120,132
SAS,PHX,107,92
NYK,GSW,90,103
DET,WAS,108,122
BKN,ORL,111,118
CHA,BOS,88,96
ATL,TOR,125,121
MIL,CHI,95,69
SAC,MEM,96,92
NOP,HOU,100,122
LAL,PHI,100,89
LAC,MIA,102,98
DAL,UTA,100,103
PHX,OKC,101,114
IND,DET,105,90
CHA,ATL,107,99
LAL,CLE,108,119
HOU,MIN,111,109
NYK,DEN,114,127
POR,GSW,90,135
LAC,WAS,110,117
SAC,DAL,79,99
UTA,MEM,82,73
BKN,PHI,107,108
TOR,ORL,109,79
BOS,MIA,105,95
NOP,SAS,100,113
WAS,IND,105,107
DET,CHI,82,113
ATL,OKC,110,108
PHX,MIN,108,115
DAL,DEN,107,117
NOP,PHI,108,93
LAL,CHA,113,117
BKN,TOR,104,116
IND,NYK,111,118
ORL,MIA,136,130
CLE,MIL,114,108
BOS,MEM,112,109
SAS,HOU,102,100
DEN,LAC,102,119
UTA,GSW,74,104
POR,SAC,121,126
MIL,CLE,102,113
MIN,ATL,92,84
MEM,DET,98,86
WAS,CHI,107,97
OKC,NOP,121,110
SAC,UTA,94,93
HOU,PHX,125,111
DAL,POR,96,95
BOS,IND,109,102
GSW,BKN,117,101
ORL,NYK,95,106
LAL,MIA,107,115
SAS,LAC,101,106
CHI,CHA,91,103
LAL,ORL,90,109
BKN,CLE,99,119
OKC,BOS,117,112
GSW,DET,119,113
WAS,MIL,96,123
HOU,MEM,109,115
MIA,NOP,87,91
SAC,MIN,109,105
ATL,DEN,109,108
TOR,UTA,104,98
PHI,PHX,116,123
SAS,POR,110,90
DAL,LAC,90,88
BOS,NYK,119,114
GSW,CLE,108,109
CHI,SAS,100,119
MIN,OKC,100,112
LAC,LAL,102,111
MIL,WAS,102,107
MEM,ORL,102,112
CHA,BKN,118,120
CLE,DET,90,106
IND,CHI,85,90
DAL,NOP,104,111
PHX,HOU,115,131
ATL,MIN,90,104
TOR,POR,95,91
DEN,LAC,106,102
PHI,SAC,100,102
MEM,BOS,103,113
OKC,MIA,106,94
HOU,DAL,123,107
UTA,LAL,102,100
IND,WAS,105,111
CHA,ORL,120,101
NYK,ATL,98,102
MIL,DET,119,94
BKN,CHI,99,101
LAC,NOP,98,102
PHX,SAS,98,119
MIN,DEN,103,105
SAC,POR,89,102
TOR,GSW,111,121
MIA,CHA,82,91
OKC,MEM,80,114
BOS,CLE,118,124
PHI,UTA,83,100
TOR,PHX,91,99
DAL,LAL,101,89
CHI,IND,101,111
BKN,WAS,95,118
MIA,BOS,114,117
NYK,NOP,92,104
LAC,HOU,116,140
MIL,MIN,99,116
DET,ATL,98,105
POR,SAS,94,110
PHI,DEN,124,122
DAL,GSW,99,108
MEM,SAC,112,98
MIL,CHI,116,96
CLE,CHA,121,109
NYK,HOU,122,129
PHX,UTA,86,91
LAC,OKC,88,114
SAS,ATL,112,114
DET,MIA,107,98
ORL,IND,104,117
POR,MIN,95,89
TOR,LAL,123,114
OKC,MIL,94,98
NOP,CLE,82,90
UTA,BKN,101,89
ORL,NYK,115,103
CHA,CHI,111,118
WAS,HOU,91,101
PHX,LAC,98,109
DEN,GSW,119,127
MIN,PHI,91,93
UTA,BOS,104,115
IND,DET,121,116
WAS,DAL,105,113
TOR,SAS,82,110
SAC,DEN,120,113
MIA,PHX,90,99
MEM,LAL,102,116
OKC,CHA,112,123
ATL,ORL,111,92
MIL,NYK,105,104
CHI,CLE,106,94
MEM,LAC,106,115
POR,GSW,117,125
MIA,SAC,107,102
BKN,IND,109,121
UTA,TOR,93,101
CHA,DET,114,115
ATL,NOP,99,94
OKC,HOU,116,118
PHX,DAL,102,95
SAS,DEN,127,99
LAL,POR,109,118
MIN,WAS,105,112
HOU,ORL,100,93
PHI,BOS,106,110
CLE,BKN,116,108
NYK,MIL,116,111
MIA,LAL,100,127
MEM,GSW,128,119
LAC,SAC,106,98
NYK,IND,109,123
NOP,BOS,108,117
TOR,CHI,118,123
DEN,OKC,106,121
UTA,MIN,94,92
ATL,DAL,97,82
CHA,SAS,85,102
PHI,BKN,105,95
WAS,MIL,107,101
MIA,LAC,86,98
HOU,TOR,129,122
UTA,MEM,79,88
CLE,PHX,120,116
DET,POR,125,124
GSW,SAC,117,106
ORL,LAL,95,111
NOP,NYK,110,96
OKC,CHI,109,94
DAL,MIN,92,101
CHI,WAS,99,101
BOS,TOR,106,114
ATL,BKN,117,97
CHA,HOU,114,121
MIL,SAS,109,107
CLE,UTA,92,100
POR,LAL,108,87
MIA,GSW,95,107
DET,SAC,94,100
NYK,PHI,97,98
MEM,OKC,95,103
HOU,MIN,105,119
WAS,BOS,108,117
ORL,LAC,96,105
CLE,POR,86,102
IND,DEN,112,140
NOP,BKN,104,95
CHI,NYK,89,104
LAL,SAS,94,134
DAL,PHX,113,108
DET,GSW,107,127
CHA,PHI,93,102
BKN,TOR,113,132
MIA,MIL,108,116
MEM,HOU,110,105
OKC,MIN,86,96
BOS,ATL,103,101
ORL,POR,115,109
CLE,SAC,120,108
DET,UTA,77,110
LAL,LAC,97,113
NOP,CHI,99,107
SAS,PHX,105,108
PHI,WAS,93,109
ORL,UTA,107,114
MIN,DAL,87,98
NYK,TOR,101,116
MIL,ATL,98,111
HOU,BKN,137,112
OKC,SAC,122,118
CHI,MEM,108,104
DET,LAL,102,97
ATL,NYK,108,107
POR,WAS,101,120
PHI,MIL,113,104
NOP,IND,95,98
ORL,DEN,112,125
CHA,BOS,98,108
CLE,GSW,91,126
UTA,PHX,106,101
OKC,LAC,98,120
TOR,BKN,119,109
HOU,MIA,103,109
DAL,CHI,99,98
MIN,SAS,114,122
DEN,LAL,127,121
TOR,PHI,89,94
MEM,WAS,101,104
POR,CHA,85,107
NYK,BOS,117,106
ORL,NOP,98,118
MIL,HOU,92,111
ATL,DET,95,118
OKC,GSW,100,121
IND,SAC,106,100
PHX,CLE,103,118
DAL,MIA,95,99
WAS,NYK,113,110
DEN,SAS,104,118
MIN,LAC,104,101
POR,PHI,92,93
TOR,CHA,78,113
MIL,ORL,96,112
SAC,MEM,91,107
BKN,NOP,143,114
GSW,HOU,125,108
CHI,ATL,93,102
UTA,DAL,112,107
IND,LAL,95,108
POR,BOS,127,123
WAS,DET,112,113
BKN,CHA,105,112
PHI,ATL,93,110
PHX,NYK,107,105
MIL,MIA,97,109
HOU,MEM,119,95
SAS,CLE,118,115
LAC,DEN,98,123
IND,UTA,100,109
SAC,CHI,99,102
GSW,ORL,118,98
LAL,DAL,73,122
PHX,TOR,115,103
DEN,MIN,108,111
WAS,CHA,109,99
SAS,BKN,112,86
LAC,ATL,115,105
GSW,MIA,102,105
SAC,DET,109,104
HOU,MIL,114,127
CLE,NOP,122,124
NYK,IND,109,103
OKC,UTA,97,95
SAS,TOR,108,106
LAC,PHI,110,121
BOS,WAS,108,123
CHI,ORL,100,92
UTA,DEN,93,103
MIN,PHX,112,111
SAC,CLE,116,112
HOU,BOS,109,120
MIA,BKN,109,106
ATL,CHI,119,114
PHI,MIL,114,109
TOR,MEM,99,101
OKC,NOP,114,105
GSW,CHA,113,103
NYK,DAL,95,103
LAL,POR,98,105
DAL,OKC,98,109
IND,MIN,109,103
PHX,DEN,120,127
LAL,UTA,88,96
SAC,IND,111,115
BKN,CLE,116,124
ORL,BOS,98,128
MIL,TOR,86,102
CHA,NYK,107,110
HOU,PHI,123,118
MIA,CHI,100,88
SAS,NOP,103,119
WAS,ATL,112,86
MEM,POR,109,112
SAC,CHA,109,106
DET,MIA,103,116
BOS,MIL,112,108
LAC,GSW,98,144
MEM,UTA,102,95
DEN,PHX,123,112
BKN,MIN,109,129
NYK,ATL,139,142
OKC,CLE,91,107
HOU,IND,101,120
WAS,NOP,107,94
ORL,TOR,114,113
PHI,CHI,108,121
DAL,SAS,105,101
GSW,POR,113,111
SAC,PHI,119,122
BKN,MIA,96,104
ORL,MIN,105,111
DET,BOS,109,113
CLE,DAL,97,104
MEM,PHX,115,96
NYK,WAS,101,117
NOP,TOR,106,108
SAC,HOU,83,105
OKC,SAS,94,108
CHA,POR,98,115
DEN,LAL,116,120
IND,ORL,98,88
MIN,CLE,97,125
TOR,BOS,104,109
NYK,BKN,95,90
ATL,MIA,93,116
NOP,DET,98,118
PHI,DAL,95,113
MEM,DEN,119,99
MIL,UTA,88,104
LAC,PHX,124,114
CHI,OKC,128,100
CHA,GSW,111,126
LAL,WAS,108,116
ATL,HOU,113,108
PHI,SAS,86,102
GSW,LAC,133,120
TOR,ORL,94,102
IND,BKN,106,97
MIN,DET,108,116
CHI,HOU,117,121
MEM,OKC,102,114
LAL,BOS,107,113
MIL,DEN,117,121
PHX,SAC,105,103
DAL,POR,108,104
NOP,WAS,91,105
ORL,ATL,86,113
DET,IND,84,105
PHI,MIA,102,125
CLE,NYK,111,104
CHA,UTA,98,105
MIL,PHX,137,112
DEN,SAS,97,121
MEM,MIN,107,99
GSW,SAC,106,109
TOR,BKN,103,95
LAC,BOS,102,107
POR,OKC,99,105
LAL,NYK,121,107
CLE,WAS,140,135
OKC,IND,90,93
LAC,TOR,109,118
UTA,ATL,120,95
PHI,DET,96,113
PHX,NOP,106,111
MIA,MIN,115,113
DAL,DEN,87,110
SAS,MEM,74,89
CHI,SAC,112,107
BKN,CHA,107,111
ORL,HOU,104,128
POR,DAL,114,113
SAS,PHI,111,103
CLE,IND,132,117
WAS,BKN,114,110
DEN,ATL,106,117
LAL,DET,102,121
MIA,MIL,106,88
PHX,MEM,91,110
UTA,NOP,127,94
TOR,MIN,109,112
LAC,NYK,119,115
CHI,GSW,92,123
BOS,SAC,92,108
HOU,CHA,107,95
